,Ticker,name,logo
99,BDKR,PT Berdikari Pondasi Perkasa Tbk.,https://s3.goapi.id/logo/BDKR.jpg
100,BDMN,PT Bank Danamon Indonesia Tbk,https://s3.goapi.id/logo/BDMN.jpg
101,BEBS,PT Berkah Beton Sadaya Tbk,https://s3.goapi.id/logo/BEBS.jpg
102,BEEF,PT Estika Tata Tiara Tbk.,https://s3.goapi.id/logo/BEEF.jpg
103,BEER,PT Jobubu Jarum Minahasa Tbk,https://s3.goapi.id/logo/BEER.jpg
104,BEKS,PT Bank Pembangunan Daerah Banten Tbk.,https://s3.goapi.id/logo/BEKS.jpg
105,BELI,PT Global Digital Niaga Tbk,https://s3.goapi.id/logo/BELI.jpg
106,BELL,PT Trisula Textile Industries Tbk,https://s3.goapi.id/logo/BELL.jpg
107,BESS,PT Batulicin Nusantara Maritim Tbk.,https://s3.goapi.id/logo/BESS.jpg
108,BEST,Bekasi Fajar Industrial Estate Tbk,https://s3.goapi.id/logo/BEST.jpg
109,BFIN,BFI Finance Indonesia Tbk,https://s3.goapi.id/logo/BFIN.jpg
110,BGTG,PT Bank Ganesha Tbk.,https://s3.goapi.id/logo/BGTG.jpg
111,BHAT,PT Bhakti Multi Artha Tbk.,https://s3.goapi.id/logo/BHAT.jpg
112,BHIT,PT MNC Investama Tbk.,https://s3.goapi.id/logo/BHIT.jpg
113,BIKA,PT Binakarya Jaya Abadi Tbk.,https://s3.goapi.id/logo/BIKA.jpg
114,BIKE,PT Sepeda Bersama Indonesia Tbk,https://s3.goapi.id/logo/BIKE.jpg
115,BIMA,Primarindo Asia Infrastructure Tbk,https://s3.goapi.id/logo/BIMA.jpg
116,BINA,PT Bank Ina Perdana Tbk.,https://s3.goapi.id/logo/BINA.jpg
117,BINO,PT Perma Plasindo Tbk ,https://s3.goapi.id/logo/BINO.jpg
118,BIPI,PT Astrindo Nusantara Infrastruktur Tbk.,https://s3.goapi.id/logo/BIPI.jpg
119,BIPP,Bhuwanatala Indah Permai Tbk,https://s3.goapi.id/logo/BIPP.jpg
120,BIRD,PT Blue Bird Tbk,https://s3.goapi.id/logo/BIRD.jpg
121,BISI,BISI INTERNATIONAL Tbk,https://s3.goapi.id/logo/BISI.jpg
122,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,https://s3.goapi.id/logo/BJBR.jpg
123,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk,https://s3.goapi.id/logo/BJTM.jpg
124,BKDP,Bukit Darmo Property Tbk,https://s3.goapi.id/logo/BKDP.jpg
125,BKSL,Sentul City Tbk,https://s3.goapi.id/logo/BKSL.jpg
126,BKSW,PT Bank QNB Indonesia Tbk,https://s3.goapi.id/logo/BKSW.jpg
127,BLTA,Berlian Laju Tanker Tbk,https://s3.goapi.id/logo/BLTA.jpg
128,BLTZ,PT Graha Layar Prima Tbk.,https://s3.goapi.id/logo/BLTZ.jpg
129,BLUE,PT Berkah Prima Perkasa Tbk,https://s3.goapi.id/logo/BLUE.jpg
130,BMAS,PT Bank Maspion Indonesia Tbk.,https://s3.goapi.id/logo/BMAS.jpg
131,BMBL,PT Lavender Bina Cendikia Tbk,https://s3.goapi.id/logo/BMBL.jpg
132,BMHS,PT Bundamedik Tbk,https://s3.goapi.id/logo/BMHS.jpg
133,BMRI,PT Bank Mandiri (Persero) Tbk,https://s3.goapi.id/logo/BMRI.jpg
134,BMSR,Bintang Mitra Semestaraya Tbk,https://s3.goapi.id/logo/BMSR.jpg
135,BMTR,PT Global Mediacom Tbk,https://s3.goapi.id/logo/BMTR.jpg
136,BNBA,Bank Bumi Arta Tbk,https://s3.goapi.id/logo/BNBA.jpg
137,BNBR,Bakrie & Brothers Tbk,https://s3.goapi.id/logo/BNBR.jpg
138,BNGA,PT Bank CIMB Niaga Tbk,https://s3.goapi.id/logo/BNGA.jpg
139,BNII,PT Bank Maybank Indonesia Tbk,https://s3.goapi.id/logo/BNII.jpg
140,BNLI,Bank Permata Tbk,https://s3.goapi.id/logo/BNLI.jpg
141,BOBA,PT Formosa Ingredient Factory Tbk,https://s3.goapi.id/logo/BOBA.jpg
142,BOGA,PT Bintang Oto Global Tbk,https://s3.goapi.id/logo/BOGA.jpg
143,BOLA,PT Bali Bintang Sejahtera Tbk.,https://s3.goapi.id/logo/BOLA.jpg
144,BOLT,PT Garuda Metalindo Tbk.,https://s3.goapi.id/logo/BOLT.jpg
145,BORN,Borneo Lumbung Energi &amp; Metal Tbk,https://s3.goapi.id/logo/BORN.jpg
146,BOSS,PT Borneo Olah Sarana Sukses Tbk.,https://s3.goapi.id/logo/BOSS.jpg
147,BPFI,Batavia Prosperindo Finance Tbk,https://s3.goapi.id/logo/BPFI.jpg
148,BPII,PT Batavia Prosperindo Internasional Tbk.,https://s3.goapi.id/logo/BPII.jpg
149,BPTR,PT Batavia Prosperindo Trans Tbk.,https://s3.goapi.id/logo/BPTR.jpg
150,BRAM,Indo Kordsa Tbk,https://s3.goapi.id/logo/BRAM.jpg
151,BRIS,PT Bank Syariah Indonesia Tbk,https://s3.goapi.id/logo/BRIS.jpg
152,BRMS,Bumi Resources Minerals Tbk,https://s3.goapi.id/logo/BRMS.jpg
153,BRNA,Berlina Tbk,https://s3.goapi.id/logo/BRNA.jpg
154,BRPT,Barito Pacific Tbk,https://s3.goapi.id/logo/BRPT.jpg
155,BSBK,PT Wulandari Bangun Laksana Tbk,https://s3.goapi.id/logo/BSBK.jpg
156,BSDE,PT Bumi Serpong Damai Tbk,https://s3.goapi.id/logo/BSDE.jpg
157,BSIM,Bank Sinarmas Tbk,https://s3.goapi.id/logo/BSIM.jpg
158,BSML,PT Bintang Samudera Mandiri Lines Tbk,https://s3.goapi.id/logo/BSML.jpg
159,BSSR,Baramulti Suksessarana Tbk,https://s3.goapi.id/logo/BSSR.jpg
160,BSWD,Bank of India Indonesia Tbk,https://s3.goapi.id/logo/BSWD.jpg
161,BTEK,Bumi Teknokultura Unggul Tbk,https://s3.goapi.id/logo/BTEK.jpg
162,BTEL,Bakrie Telecom Tbk,https://s3.goapi.id/logo/BTEL.jpg
163,BTON,Betonjaya Manunggal Tbk,https://s3.goapi.id/logo/BTON.jpg
164,BTPN,PT Bank BTPN Tbk,https://s3.goapi.id/logo/BTPN.jpg
165,BTPS,PT Bank BTPN Syariah Tbk.,https://s3.goapi.id/logo/BTPS.jpg
166,BUAH,PT Segar Kumala Indonesia Tbk,https://s3.goapi.id/logo/BUAH.jpg
167,BUDI,PT Budi Starch & Sweetener Tbk.,https://s3.goapi.id/logo/BUDI.jpg
168,BUKA,PT Bukalapak.com Tbk,https://s3.goapi.id/logo/BUKA.jpg
169,BUKK,Bukaka Teknik Utama Tbk,https://s3.goapi.id/logo/BUKK.jpg
170,BULL,PT Buana Lintas Lautan Tbk.,https://s3.goapi.id/logo/BULL.jpg
171,BUMI,Bumi Resources Tbk,https://s3.goapi.id/logo/BUMI.jpg
172,BUVA,PT Bukit Uluwatu Villa Tbk,https://s3.goapi.id/logo/BUVA.jpg
173,BVIC,Bank Victoria International Tbk,https://s3.goapi.id/logo/BVIC.jpg
174,BWPT,Eagle High Plantations Tbk,https://s3.goapi.id/logo/BWPT.jpg
175,BYAN,Bayan Resources Tbk,https://s3.goapi.id/logo/BYAN.jpg
176,CAKK,PT Cahayaputra Asa Keramik Tbk.,https://s3.goapi.id/logo/CAKK.jpg
177,CAMP,PT Campina Ice Cream Industry Tbk.,https://s3.goapi.id/logo/CAMP.jpg
178,CANI,PT Capitol Nusantara Indonesia Tbk.,https://s3.goapi.id/logo/CANI.jpg
179,CARE,PT Metro Healthcare Indonesia Tbk,https://s3.goapi.id/logo/CARE.jpg
180,CARS,PT Industri dan Perdagangan Bintraco Dharma Tbk,https://s3.goapi.id/logo/CARS.jpg
181,CASA,PT Capital Financial Indonesia Tbk,https://s3.goapi.id/logo/CASA.jpg
182,CASH,PT Cashlez Worldwide Indonesia Tbk.,https://s3.goapi.id/logo/CASH.jpg
183,CASS,Cardig Aero Services Tbk,https://s3.goapi.id/logo/CASS.jpg
184,CBMF,PT Cahaya Bintang Medan Tbk,https://s3.goapi.id/logo/CBMF.jpg
185,CBPE,PT Citra Buana Prasida Tbk,https://s3.goapi.id/logo/CBPE.jpg
186,CBRE,PT Cakra Buana Resources Energi Tbk,https://s3.goapi.id/logo/CBRE.jpg
187,CBUT,PT Citra Borneo Utama Tbk,https://s3.goapi.id/logo/CBUT.jpg
188,CCSI,PT Communication Cable Systems Indonesia Tbk.,https://s3.goapi.id/logo/CCSI.jpg
189,CEKA,PT Wilmar Cahaya Indonesia Tbk.,https://s3.goapi.id/logo/CEKA.jpg
190,CENT,PT Centratama Telekomunikasi Indonesia Tbk.,https://s3.goapi.id/logo/CENT.jpg
191,CFIN,Clipan Finance Indonesia Tbk,https://s3.goapi.id/logo/CFIN.jpg
192,CHEM,PT Chemstar Indonesia Tbk,https://s3.goapi.id/logo/CHEM.jpg
193,CHIP,PT Pelita Teknologi Global Tbk,https://s3.goapi.id/logo/CHIP.jpg
194,CINT,PT Chitose Internasional Tbk,https://s3.goapi.id/logo/CINT.jpg
195,CITA,Cita Mineral Investindo Tbk,https://s3.goapi.id/logo/CITA.jpg
196,CITY,PT Natura City Developments Tbk.,https://s3.goapi.id/logo/CITY.jpg
197,CKRA,Cakra Mineral Tbk.,https://s3.goapi.id/logo/CKRA.jpg
198,CLAY,PT Citra Putra Realty Tbk,https://s3.goapi.id/logo/CLAY.jpg
199,CLEO,PT Sariguna Primatirta Tbk,https://s3.goapi.id/logo/CLEO.jpg
200,CLPI,Colorpak Indonesia Tbk,https://s3.goapi.id/logo/CLPI.jpg
201,CMNP,Citra Marga Nusaphala Persada Tbk,https://s3.goapi.id/logo/CMNP.jpg
202,CMNT,PT Cemindo Gemilang Tbk,https://s3.goapi.id/logo/CMNT.jpg
203,CMPP,PT AirAsia Indonesia Tbk,https://s3.goapi.id/logo/CMPP.jpg
204,CMRY,PT Cisarua Mountain Dairy Tbk,https://s3.goapi.id/logo/CMRY.jpg
205,CNKO,Exploitasi Energi Indonesia Tbk,https://s3.goapi.id/logo/CNKO.jpg
206,CNTX,PT Century Textile Industry Tbk,https://s3.goapi.id/logo/CNTX.jpg
207,COAL,PT Black Diamond Resources Tbk,https://s3.goapi.id/logo/COAL.jpg
208,COCO,PT Wahana Interfood Nusantara Tbk.,https://s3.goapi.id/logo/COCO.jpg
209,COWL,COWELL DEVELOPMENT Tbk,https://s3.goapi.id/logo/COWL.jpg
210,CPIN,Charoen Pokphand Indonesia Tbk,https://s3.goapi.id/logo/CPIN.jpg
211,CPRI,PT Capri Nusa Satu Properti Tbk.,https://s3.goapi.id/logo/CPRI.jpg
212,CPRO,Central Proteina Prima Tbk,https://s3.goapi.id/logo/CPRO.jpg
213,CRAB,PT Toba Surimi Industries Tbk,https://s3.goapi.id/logo/CRAB.jpg
214,CSAP,Catur Sentosa Adiprana Tbk,https://s3.goapi.id/logo/CSAP.jpg
215,CSIS,PT Cahayasakti Investindo Sukses Tbk,https://s3.goapi.id/logo/CSIS.jpg
216,CSMI,PT Cipta Selera Murni Tbk.,https://s3.goapi.id/logo/CSMI.jpg
217,CSRA,PT Cisadane Sawit Raya Tbk.,https://s3.goapi.id/logo/CSRA.jpg
218,CTBN,Citra Tubindo Tbk,https://s3.goapi.id/logo/CTBN.jpg
219,CTRA,Ciputra Development Tbk,https://s3.goapi.id/logo/CTRA.jpg
220,CTTH,Citatah Tbk,https://s3.goapi.id/logo/CTTH.jpg
221,CUAN,PT Petrindo Jaya Kreasi Tbk,https://s3.goapi.id/logo/CUAN.jpg
222,DADA,PT Diamond Citra Propertindo Tbk.,https://s3.goapi.id/logo/DADA.jpg
223,DART,Duta Anggada Realty Tbk,https://s3.goapi.id/logo/DART.jpg
224,DAYA,PT Duta Intidaya Tbk.,https://s3.goapi.id/logo/DAYA.jpg
225,DCII,PT DCI Indonesia Tbk,https://s3.goapi.id/logo/DCII.jpg
226,DEAL,PT Dewata Freightinternational Tbk.,https://s3.goapi.id/logo/DEAL.jpg
227,DEFI,Danasupra Erapacific Tbk,https://s3.goapi.id/logo/DEFI.jpg
228,DEPO,PT Caturkarda Depo Bangunan Tbk,https://s3.goapi.id/logo/DEPO.jpg
229,DEWA,Darma Henwa Tbk,https://s3.goapi.id/logo/DEWA.jpg
230,DEWI,PT Dewi Shri Farmindo Tbk,https://s3.goapi.id/logo/DEWI.jpg
231,DFAM,PT Dafam Property Indonesia Tbk,https://s3.goapi.id/logo/DFAM.jpg
232,DGIK,Nusa Konstruksi Enjiniring  Tbk,https://s3.goapi.id/logo/DGIK.jpg
233,DGNS,PT Diagnos Laboratorium Utama Tbk,https://s3.goapi.id/logo/DGNS.jpg
234,DIGI,PT Arkadia Digital Media Tbk,https://s3.goapi.id/logo/DIGI.jpg
235,DILD,Intiland Development Tbk,https://s3.goapi.id/logo/DILD.jpg
236,DIVA,PT Distribusi Voucher Nusantara Tbk,https://s3.goapi.id/logo/DIVA.jpg
237,DKFT,Central Omega Resources Tbk,https://s3.goapi.id/logo/DKFT.jpg
238,DLTA,Delta Djakarta Tbk,https://s3.goapi.id/logo/DLTA.jpg
239,DMAS,PT Puradelta Lestari Tbk.,https://s3.goapi.id/logo/DMAS.jpg
240,DMMX,PT Digital Mediatama Maxima Tbk,https://s3.goapi.id/logo/DMMX.jpg
241,DMND,PT Diamond Food Indonesia Tbk.,https://s3.goapi.id/logo/DMND.jpg
242,DNAR,PT Bank Oke Indonesia Tbk.,https://s3.goapi.id/logo/DNAR.jpg
243,DNET,PT Indoritel Makmur Internasional Tbk.,https://s3.goapi.id/logo/DNET.jpg
244,DOID,Delta Dunia Makmur Tbk,https://s3.goapi.id/logo/DOID.jpg
245,DPNS,Duta Pertiwi Nusantara Tbk,https://s3.goapi.id/logo/DPNS.jpg
246,DPUM,PT Dua Putra Utama Makmur Tbk.,https://s3.goapi.id/logo/DPUM.jpg
247,DRMA,PT Dharma Polimetal Tbk,https://s3.goapi.id/logo/DRMA.jpg
248,DSFI,Dharma Samudera Fishing Ind. Tbk,https://s3.goapi.id/logo/DSFI.jpg
249,DSNG,PT Dharma Satya Nusantara Tbk.,https://s3.goapi.id/logo/DSNG.jpg
250,DSSA,Dian Swastatika Sentosa Tbk,https://s3.goapi.id/logo/DSSA.jpg
251,DUCK,PT Jaya Bersama Indo Tbk.,https://s3.goapi.id/logo/DUCK.jpg
252,DUTI,Duta Pertiwi Tbk,https://s3.goapi.id/logo/DUTI.jpg
253,DVLA,Darya-Varia Laboratoria Tbk,https://s3.goapi.id/logo/DVLA.jpg
254,DWGL,PT Dwi Guna Laksana Tbk,https://s3.goapi.id/logo/DWGL.jpg
255,DYAN,PT Dyandra Media International Tbk.,https://s3.goapi.id/logo/DYAN.jpg
256,EAST,PT Eastparc Hotel Tbk,https://s3.goapi.id/logo/EAST.jpg
257,ECII,PT Electronic City Indonesia Tbk.,https://s3.goapi.id/logo/ECII.jpg
258,EDGE,PT Indointernet Tbk.,https://s3.goapi.id/logo/EDGE.jpg
259,EKAD,Ekadharma International Tbk,https://s3.goapi.id/logo/EKAD.jpg
260,ELIT,PT Data Sinergitama Jaya Tbk,https://s3.goapi.id/logo/ELIT.jpg
261,ELPI,PT Pelayaran Nasional Ekalya Purnamasari Tbk,https://s3.goapi.id/logo/ELPI.jpg
262,ELSA,Elnusa Tbk,https://s3.goapi.id/logo/ELSA.jpg
263,ELTY,Bakrieland Development Tbk,https://s3.goapi.id/logo/ELTY.jpg
264,EMDE,Megapolitan Developments Tbk,https://s3.goapi.id/logo/EMDE.jpg
265,EMTK,Elang Mahkota Teknologi Tbk,https://s3.goapi.id/logo/EMTK.jpg
266,ENAK,PT Champ Resto Indonesia Tbk,https://s3.goapi.id/logo/ENAK.jpg
267,ENRG,Energi Mega Persada Tbk,https://s3.goapi.id/logo/ENRG.jpg
268,ENVY,PT Envy Technologies Indonesia Tbk,https://s3.goapi.id/logo/ENVY.jpg
269,ENZO,PT Morenzo Abadi Perkasa Tbk,https://s3.goapi.id/logo/ENZO.jpg
270,EPAC,PT Megalestari Epack Sentosaraya Tbk.,https://s3.goapi.id/logo/EPAC.jpg
271,EPMT,Enseval Putera Megatrading Tbk,https://s3.goapi.id/logo/EPMT.jpg
272,ERAA,Erajaya Swasembada Tbk,https://s3.goapi.id/logo/ERAA.jpg
273,ERTX,Eratex Djaja Tbk,https://s3.goapi.id/logo/ERTX.jpg
274,ESIP,PT Sinergi Inti Plastindo Tbk.,https://s3.goapi.id/logo/ESIP.jpg
275,ESSA,Surya Esa Perkasa Tbk,https://s3.goapi.id/logo/ESSA.jpg
276,ESTA,PT Esta Multi Usaha Tbk.,https://s3.goapi.id/logo/ESTA.jpg
277,ESTI,Ever Shine Textile Industry Tbk,https://s3.goapi.id/logo/ESTI.jpg
278,ETWA,Eterindo Wahanatama Tbk,https://s3.goapi.id/logo/ETWA.jpg
279,EURO,PT Estee Gold Feet Tbk,https://s3.goapi.id/logo/EURO.jpg
280,EXCL,PT XL Axiata Tbk,https://s3.goapi.id/logo/EXCL.jpg
281,FAPA,PT FAP Agri Tbk,https://s3.goapi.id/logo/FAPA.jpg
282,FAST,PT Fast Food Indonesia Tbk,https://s3.goapi.id/logo/FAST.jpg
283,FASW,Fajar Surya Wisesa Tbk,https://s3.goapi.id/logo/FASW.jpg
284,FILM,PT MD Pictures Tbk.,https://s3.goapi.id/logo/FILM.jpg
285,FIMP,PT Fimperkasa Utama Tbk,https://s3.goapi.id/logo/FIMP.jpg
286,FINN,PT First Indo American Leasing Tbk.,https://s3.goapi.id/logo/FINN.jpg
287,FIRE,PT Alfa Energi Investama Tbk.,https://s3.goapi.id/logo/FIRE.jpg
288,FISH,FKS Multi Agro Tbk,https://s3.goapi.id/logo/FISH.jpg
289,FITT,PT Hotel Fitra International Tbk,https://s3.goapi.id/logo/FITT.jpg
290,FLMC,PT Falmaco Nonwoven Industri Tbk,https://s3.goapi.id/logo/FLMC.jpg
291,FMII,Fortune Mate Indonesia Tbk,https://s3.goapi.id/logo/FMII.jpg
292,FOOD,PT Sentra Food Indonesia Tbk.,https://s3.goapi.id/logo/FOOD.jpg
293,FORU,Fortune Indonesia Tbk,https://s3.goapi.id/logo/FORU.jpg
294,FORZ,PT Forza Land Indonesia Tbk.,https://s3.goapi.id/logo/FORZ.jpg
