,Ticker,Training Data Size,Test Data Size,Accuracy,train_true,train_false,coef,intercept
372,IPCC.JK,937,234,0.6196581196581197,348,589,[-0.00518445 -0.02799059  0.02352038  0.04709115 -0.00492668 -0.47565142],-0.5249169028086828
373,IPCM.JK,967,241,0.6804979253112033,358,609,[ 0.10010975  0.04101937 -0.02393858 -0.00276377 -0.00575205 -0.24918283],-0.5349281854035729
374,IPOL.JK,966,241,0.6390041493775933,336,630,[-0.09707993 -0.02027862 -0.00394374  0.03229796  0.00800528 -2.39552304],-0.6270101762281096
375,IPPE.JK,237,59,0.9322033898305084,86,151,[ 0.09774537 -0.08786525 -0.07133468  0.10194574 -0.03860443  0.00645966],-0.5825087401069602
376,IPTV.JK,726,181,0.7790055248618785,205,521,[-0.00129937 -0.00204443 -0.04153449  0.03108463  0.00419007 -0.54313452],-0.9385754345239294
377,IRRA.JK,673,168,0.6607142857142857,266,407,[-0.06036357  0.02268083 -0.07306799 -0.13012063  0.00623859  0.06995247],-0.43180987722364605
378,IRSX.JK,23,5,1.0,9,14,[ 0.01893587 -0.68302958 -0.31698979  0.38209968 -0.31100139  0.041643  ],-0.7205469939631548
379,ISAP.JK,56,13,0.6923076923076923,15,41,[-0.03240244 -0.10493904 -0.08307349  0.58989137  0.3081158   0.4707403 ],-1.0208249470803585
380,ISAT.JK,966,241,0.5435684647302904,391,575,[-0.00022296  0.00930309  0.0108396   0.00448322 -0.00252087  0.07588491],-0.3882118878435739
381,ISSP.JK,967,241,0.6390041493775933,357,610,"[-8.38838137e-02  3.31406688e-02  6.65628548e-04  3.13492889e-03
 -1.00660050e-04 -1.35248692e+00]",-0.5308027272351181
382,ITIC.JK,731,182,0.6043956043956044,282,449,[ 0.24575798 -0.05813951  0.0014381   0.01181561  0.01207747 -0.21318108],-0.4708876577796617
383,ITMA.JK,928,231,0.658008658008658,339,589,"[-9.08764704e-06  6.59701360e-05 -1.71301128e-03  1.15178773e-04
  8.33076812e-04 -1.05277260e-04]",-0.002518013465363225
384,ITMG.JK,967,241,0.49377593360995853,443,524,[ 0.1736883   0.00091205 -0.03418447  0.00749479 -0.00829593  0.39313277],-0.1648540880834215
385,JARR.JK,128,31,0.7741935483870968,36,92,[-0.03154875  0.03883235  0.15715567  0.56395109  0.00506952  0.52140699],-0.9684008687012862
386,JAST.JK,759,189,0.671957671957672,252,507,[ 0.5453225  -0.01540584 -0.05040945  0.13445711 -0.01282474  0.3074595 ],-0.7115924996378892
387,JAWA.JK,967,241,0.6597510373443983,279,688,[-0.13382459 -0.00212756 -0.00798747 -0.02032581  0.00277542 -1.17726768],-0.8977976103442502
388,JAYA.JK,807,201,0.6218905472636815,284,523,[-0.21643348 -0.00145129  0.13513452  0.09787935 -0.01061537 -0.78887804],-0.6073330692824103
389,JECC.JK,831,207,0.7729468599033816,107,724,[-0.35682726 -0.00589583 -0.01671966  0.0106813   0.00737767 -0.03845848],-1.9056193631110208
390,JIHD.JK,968,241,0.6597510373443983,230,738,[-0.1910365  -0.0277532   0.01220608  0.0130759  -0.06266892 -1.65802076],-1.1874342316037845
391,JKON.JK,960,240,0.5875,195,765,[-0.29052113 -0.03104231  0.002342   -0.02329312  0.00848445 -1.14389752],-1.3687006323097826
392,JKSW.JK,192,48,0.8125,58,134,[-0.07610402 -0.01794773 -0.05587949 -0.81918981  0.03234488 -1.4452685 ],-0.8968958147975095
393,JMAS.JK,967,241,0.7178423236514523,256,711,[-0.43012326  0.00375532 -0.00356538  0.07054587  0.01784523 -2.00926115],-1.0201679654316338
394,JPFA.JK,968,241,0.5933609958506224,406,562,[-0.02617166 -0.01068766  0.00665802 -0.00450316  0.00160686 -0.04546021],-0.3219971640225835
395,JRPT.JK,967,241,0.6721991701244814,317,650,"[-3.18517794e-04  2.97722814e-02  3.50440107e-02 -1.67211301e-02
  3.72850412e-02 -9.66220851e-01]",-0.7107775323211365
396,JSKY.JK,831,207,0.7681159420289855,290,541,[ 0.0013839   0.05455256  0.00455259  0.01534481 -0.0009118  -0.00504135],-0.6245461279953619
397,JSMR.JK,967,241,0.6182572614107884,421,546,[-0.08653092 -0.02885428 -0.02639656 -0.01654018  0.01674296  0.1216225 ],-0.265823930682808
398,JSPT.JK,941,235,0.8468085106382979,108,833,[-0.04425246  0.02847855  0.00288788  0.05384005 -0.00178773 -1.71265127],-2.060357700869499
399,JTPE.JK,968,241,0.7344398340248963,296,672,"[ 3.72225159e-01  3.83565693e-04  2.98128350e-03 -2.82093382e-01
  3.46428668e-02  6.87561903e-01]",-0.848988960059173
400,KAEF.JK,967,241,0.6970954356846473,341,626,[ 0.11079389  0.0260403  -0.05062135  0.01211343  0.00468913 -0.0851571 ],-0.6099551542717704
401,KARW.JK,946,236,0.7076271186440678,291,655,[-0.02578095 -0.0020821  -0.01183865 -0.09142709 -0.00169868 -1.22919545],-0.806698416994224
402,KAYU.JK,537,134,0.8582089552238806,158,379,[-0.33770707  0.12353817  0.008237   -0.01824025  0.00605392 -0.40097533],-0.8824954633344748
403,KBAG.JK,294,73,0.9452054794520548,69,225,[ 0.20508475 -0.00966354  0.15279323  0.36391    -0.08907258 -0.26536572],-1.190576354612254
404,KBLI.JK,968,241,0.6597510373443983,326,642,[-0.12114671 -0.00247403  0.01367083 -0.08484315 -0.00122353 -1.12740764],-0.6746322714202992
405,KBLM.JK,967,241,0.6265560165975104,363,604,[-0.31909223  0.01837862 -0.00299643 -0.01375165 -0.02228525 -2.93118756],-0.501281936104891
406,KBLV.JK,965,241,0.6846473029045643,263,702,[-0.20352378 -0.0071409  -0.01092744  0.00298166  0.00184562  0.01438521],-0.9889903205405022
